央视卫视,#genre#
CCTV-1,http://8.146.211.219:2000/live_tv?pid=988d1b9e4e8153df4cd958f6c869fdd0
CCTV-2,http://8.146.211.219:2000/live_tv?pid=29221dd8fdc12e79494e7f5c61be96a8
CCTV-3,http://8.146.211.219:2000/live_tv?pid=05bcaad4d39053ed7ce0e5a56dc36d29
CCTV-4,http://8.146.211.219:2000/live_tv?pid=421c4f2afadc6614d4ae336b34d2a11f
CCTV-4美洲,http://8.146.211.219:2000/live_tv?pid=20d5061759aa96524d1e53491d0af3f0
CCTV-4欧洲,http://8.146.211.219:2000/live_tv?pid=0f0a78c78b3807e6f9849cd8f832548e
CCTV-5,http://8.146.211.219:2000/live_tv?pid=fd01648302a254bcb9ffe42850b5e8e1
CCTV-5+,http://8.146.211.219:2000/live_tv?pid=239ab0e8f8f44d96dbabb037a2d22ef1
CCTV-6,http://8.146.211.219:2000/live_tv?pid=37128170476aea12aa0f6c44b5fb87c3
CCTV-7,http://8.146.211.219:2000/live_tv?pid=fccddd9b14fc942a5299ab095a627ce2
CCTV-8,http://8.146.211.219:2000/live_tv?pid=23f30d57d5ff1c8e06b5723ddad85de1
CCTV-9Doc,http://8.146.211.219:2000/live_tv?pid=0621e0a180e8d09ced119dfff1c13e4f
CCTV-9,http://8.146.211.219:2000/live_tv?pid=665cad6930de6de863ab61686327942f
CCTV-10,http://8.146.211.219:2000/live_tv?pid=a5efcd2e4cd5456734fe5cce51cab7a8
CCTV-11,http://8.146.211.219:2000/live_tv?pid=c0a02b0d385b922bca785cd2fcfddc92
CCTV-12,http://8.146.211.219:2000/live_tv?pid=9d15f0248c2736406b2aa5d2d3ed69ae
CCTV-13,http://8.146.211.219:2000/live_tv?pid=add2fefc54aa97dfbefd38b765491ea3
CCTV-14,http://8.146.211.219:2000/live_tv?pid=f915764e6dc1befa7382489b7d94d7aa
CCTV-15,http://8.146.211.219:2000/live_tv?pid=e44ebe98ac14de8b72d3be292e499861
CCTV-17,http://8.146.211.219:2000/live_tv?pid=fb5b78f4aed67e7277db1599b72fb13e
